Price,Company,Operating System,RAM,Type,Warranty,Inches,TouchScreen,HDD,SSD,Generation,Processor Type
49990,ASUS,Windows11,8,VivoBook,1,14,YES,0,512.0,12,i3
47990,Infinix,Windows11,16,N\A,1,14,NO,0,512.0,12,i7
32990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
57990,HP,Windows11,16,N\A,1,16,NO,0,512.0,11,i5
48990,MSI,Windows11,16,N\A,1,15,NO,0,512.0,11,i5
56990,ASUS,Windows11,16,VivoBook,1,15,NO,0,512.0,0,Ryzen 7
58990,HP,Windows11,8,N\A,1,16,NO,0,512.0,11,i5
63990,HP,Windows11,8,N\A,1,15,NO,0,512.0,12,i5
35990,ASUS,Windows11,8,VivoBook,1,15,NO,0,512.0,11,i3
39990,ASUS,Windows11,8,VivoBook,1,15,NO,0,512.0,0,Ryzen 3
34790,HP,DOS,8,N\A,1,15,NO,1024,256.0,11,i3
69990,Acer,Windows11,16,N\A,1,15,NO,0,512.0,12,i5
55490,Lenovo,Windows11,8,IdeaPad,1,15,NO,0,512.0,11,i5
57990,HP,Windows11,16,N\A,1,14,NO,0,512.0,0,Ryzen 7
27990,Lenovo,Windows11,8,IdeaPad,1,15,NO,0,256.0,0,Other
16990,HP,Chrome,4,N\A,1,14,YES,0,,0,Other
40990,MSI,Windows11,8,N\A,1,14,NO,0,512.0,0,Ryzen 5
114990,Lenovo,Windows11,16,N\A,1,15,NO,0,512.0,13,i7
87990,ASUS,Windows11,16,ZenBook,1,15,YES,0,512.0,12,i5
115490,ASUS,Windows11,16,Gaming,1,16,NO,0,512.0,12,i7
68747,HP,Windows11,16,Pavilion,1,13,NO,0,512.0,0,Ryzen 5
99990,Lenovo,Windows11,16,N\A,1,15,NO,0,512.0,13,i7
37990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
59990,MSI,Windows11,16,N\A,1,15,NO,0,512.0,0,Ryzen 7
99990,Lenovo,Windows11,16,N\A,1,15,NO,0,512.0,13,i7
27990,Acer,Windows11,8,Aspire,1,15,NO,0,512.0,0,Ryzen 3
57990,HP,Windows11,16,N\A,1,16,NO,0,512.0,11,i5
58990,HP,Windows11,8,N\A,1,16,NO,0,512.0,11,i5
33990,Acer,Windows11,8,Aspire,1,15,NO,0,512.0,0,i3
68990,ASUS,Windows11,16,VivoBook,1,15,NO,0,512.0,12,i5
85999,ASUS,Windows11,16,ZenBook,1,15,NO,0,512.0,12,i5
70690,Lenovo,Windows11,8,IdeaPad,1,15,NO,0,512.0,0,Ryzen 7
32990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
63990,HP,Windows11,8,N\A,1,15,NO,0,512.0,12,i5
72900,HP,Windows11,16,Pavilion,1,15,YES,0,512.0,11,i5
131990,ASUS,Windows11,16,Gaming,1,14,NO,0,1024.0,0,Ryzen 7
40990,MSI,Windows11,8,N\A,1,14,NO,0,512.0,0,Ryzen 5
59990,MSI,Windows11,16,N\A,1,15,NO,0,512.0,0,Ryzen 7
35490,DELL,Windows11,8,Inspiron,1,15,NO,0,256.0,0,i3
72990,Acer,Windows11,16,Swift,1,14,NO,0,512.0,13,i5
114020,Lenovo,Windows11,16,Gaming,1,15,NO,0,1024.0,0,Ryzen 7
57990,Lenovo,Windows11,16,IdeaPad,1,15,NO,0,512.0,11,i5
37990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
69990,Lenovo,Windows11,16,N\A,1,14,NO,0,512.0,11,i5
52990,Infinix,Windows11,16,N\A,1,15,NO,0,1024.0,11,i7
63990,ASUS,Windows11,8,N\A,1,17,NO,0,512.0,0,Ryzen 5
78990,Lenovo,Windows11,16,N\A,1,15,NO,0,512.0,12,i5
51098,HP,Windows11,8,Pavilion,1,14,NO,0,512.0,0,Ryzen 5
89990,ASUS,Windows11,16,ZenBook,1,14,YES,0,1024.0,0,Ryzen 7
73990,Lenovo,Windows11,16,IdeaPad,1,15,NO,0,512.0,0,Ryzen 7
55490,HP,Windows11,8,Pavilion,1,15,NO,0,512.0,0,Ryzen 5
49890,DELL,Windows11,16,Inspiron,1,15,NO,0,512.0,11,i5
57990,HP,Windows11,16,N\A,1,16,NO,0,512.0,11,i5
58990,HP,Windows11,8,N\A,1,16,NO,0,512.0,11,i5
26990,Infinix,Windows11,8,N\A,1,15,NO,0,256.0,10,i3
193090,Lenovo,Windows11,16,Gaming,1,16,NO,0,512.0,0,Ryzen 7
32990,HP,Windows11,8,N\A,1,15,NO,0,512.0,0,Ryzen 3
63990,HP,Windows11,8,N\A,1,15,NO,0,512.0,12,i5
45990,ASUS,Windows11,8,VivoBook,1,14,NO,0,512.0,13,i3
126990,APPLE,Mac,8,MacBook Air,1,15,NO,0,256.0,0,Other
16990,AXL,Windows11,4,AXL,1,15,NO,0,256.0,0,Other
33400,HP,Windows11,8,N\A,1,15,NO,0,256.0,0,Ryzen 5
55490,Lenovo,Windows11,8,IdeaPad,1,15,NO,0,512.0,11,i5
57990,HP,Windows11,16,N\A,1,14,NO,0,512.0,0,Ryzen 7
51990,MSI,Windows11,16,N\A,1,15,NO,0,512.0,11,i5
69490,DELL,Windows11,8,N\A,1,15,NO,1024,256.0,12,i5
40990,MSI,Windows11,8,N\A,1,14,NO,0,512.0,0,Ryzen 5
59990,MSI,Windows11,16,N\A,1,15,NO,0,512.0,0,Ryzen 7
54800,HP,Windows10,8,Pavilion,1,15,NO,0,512.0,0,Ryzen 5
