Product Name,Features,Price,Company,Processor,Operating System,RAM,Display,Storage,Type
HP Victus Core i5 11th Gen 11400H,"['Intel Core i5 Processor (11th Gen)', '8 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '40.89 cm (16.1 Inch) Display', '1 Year Onsite Warranty']",58990,HP,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,8 GB DDR4 RAM,40.89 cm (16.1 Inch) Display,512 GB SSD,N\A
HP Victus Core i5 12th Gen 12450H,"['Intel Core i5 Processor (12th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Onsite Warranty']",63990,HP,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,8 GB DDR4 RAM,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A
HP Victus Core i5 11th Gen 11400H,"['Intel Core i5 Processor (11th Gen)', '16 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '40.89 cm (16.1 Inch) Display', '1 Year Onsite Warranty']",57990,HP,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,16 GB DDR4 RAM,40.89 cm (16.1 Inch) Display,512 GB SSD,N\A
Acer Extensa (2023) Intel Core i3 12th Gen N305,"['Intel Core i3 Processor (12th Gen)', '8 GB LPDDR5 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year International Travelers Warranty']",32990,Acer,Intel Core i3 Processor (12th Gen),64 bit Windows 11 Operating System,8 GB LPDDR5 RAM,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A
Lenovo LOQ Intel Core i5 12th Gen 12450H,"['Intel Core i5 Processor (12th Gen)', '16 GB DDR5 RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', 'Microsoft Office Home & Student 2021', '1 Year Carry-in Warranty']",78990,Lenovo,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,16 GB DDR5 RAM,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A
HP 2023 Ryzen 3 Dual Core 3250U,"['AMD Ryzen 3 Dual Core Processor', '8 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Onsite Warranty']",32990,HP,AMD Ryzen 3 Dual Core Processor,Windows 11 Operating System,8 GB DDR4 RAM,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A
ASUS Vivobook 15 Core i5 11th Gen 1135G7,"['Intel Core i5 Processor (11th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Onsite Warranty']",43990,ASUS,Intel Core i5 Processor (11th Gen),64 bit Windows 11 Operating System,8 GB DDR4 RAM,39.62 cm (15.6 Inch) Display,512 GB SSD,VivoBook
ASUS Vivobook 15 Core i3 11th Gen 1115G4,"['Intel Core i3 Processor (11th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '256 GB SSD', '39.62 cm (15.6 Inch) Display', 'Not Applicable', '1 Year Onsite Warranty']",29990,ASUS,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,8 GB DDR4 RAM,39.62 cm (15.6 Inch) Display,256 GB SSD,VivoBook
HP Intel Core i5 12th Gen 1235U,"['Intel Core i5 Processor (12th Gen)', '16 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 inch) Display', 'Microsoft Office Home & Student 2021', '1 Year Onsite Warranty']",57990,HP,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,16 GB DDR4 RAM,35.56 cm (14 inch) Display,512 GB SSD,N\A
realme Book Prime Core i5 11th Gen 11320H,"['Intel Core i5 Processor (11th Gen)', '16 GB LPDDR4X RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 inch) Display', '1 Year Domestic Warranty']",50990,realme,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,16 GB LPDDR4X RAM,35.56 cm (14 inch) Display,512 GB SSD,Realme Book
MSI Ryzen 5 Hexa Core 7530U,"['AMD Ryzen 5 Hexa Core Processor', '8 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '1 Year Carry-in Warranty']",40990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,8 GB DDR4 RAM,35.56 cm (14 Inch) Display,512 GB SSD,N\A
MSI Ryzen 5 Hexa Core 7530U,"['AMD Ryzen 5 Hexa Core Processor', '16 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '1 Year Carry-in Warranty']",43990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,16 GB DDR4 RAM,35.56 cm (14 Inch) Display,512 GB SSD,N\A
HP Intel Core i3 11th Gen 1115G4,"['Intel Core i3 Processor (11th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '256 GB SSD', '35.56 cm (14 inch) Display', '1 Year Onsite Warranty']",35990,HP,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,8 GB DDR4 RAM,35.56 cm (14 inch) Display,256 GB SSD,N\A
DELL Dell Inspiron 3520 Core i3 11th Gen 1115G4,"['Intel Core i3 Processor (11th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Onsite Hardware Service']",36990,DELL,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,8 GB DDR4 RAM,39.62 cm (15.6 Inch) Display,512 GB SSD,Inspiron
Lenovo Yoga Slim 7 Pro Intel Evo Core i5 11th Gen 11320H,"['Intel Core i5 Processor (11th Gen)', '16 GB LPDDR4X RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '3 Years Onsite Warranty + 3 Years Premium Care + 1 Year Accidental Damage Protection']",69990,Lenovo,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,16 GB LPDDR4X RAM,35.56 cm (14 Inch) Display,512 GB SSD,N\A
Lenovo IdeaPad Slim 5 AMD Ryzen 5 Hexa Core 7530U,"['AMD Ryzen 5 Hexa Core Processor', '16 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', 'Microsoft Office Home & Student 2021', '1 Year Carry-in Warranty']",60990,Lenovo,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,16 GB DDR4 RAM,35.56 cm (14 Inch) Display,512 GB SSD,IdeaPad
