Price,Company,Processor,Operating System,RAM,Type,Warranty,Inches,TouchScreen,HDD,SSD
55490,Lenovo,Intel Core i5 Processor (11th Gen),Windows11,8,IdeaPad,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidentaly Damage Protection,15.6,NO,,512
57990,HP,AMD Ryzen 7 Octa Core Processor,64bitWindows11,16,N\A,1 Year Onsite Warranty,14,NO,,512
54990,DELL,Processor: Intel i5-1235U (Base- 3.30 GHz & Turbo up to 4.40 GHz) 10 Cores,64bitWindows11,8,N\A,,15.6,NO,,512
26990,Infinix,Intel Core i3 Processor (10th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,,NO,,512
40990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows11,8,N\A,1 Year Carry-in Warranty,14,NO,,512
59990,MSI,AMD Ryzen 7 Octa Core Processor,64bitWindows11,16,N\A,1 Year Warranty Term,,NO,,512
72990,MSI,Intel Core i5 Processor (12th Gen),Windows11,8,N\A,2 Year On-Site & Carry-In Warranty,15.6,NO,,512
66500,Lenovo,Intel Core i5 Processor (12th Gen),64bitWindows11,16,IdeaPad,1 Year Onsite warranty + 1 Year Accidental Damage Protection + 1 Year Premium Care,,NO,,512
54990,HP,Intel Core i5 Processor (12th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
36490,DELL,Intel Core i3 Processor (11th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
58990,HP,Intel Core i5 Processor (11th Gen),Windows11,8,N\A,1 Year Onsite Warranty,16.1,NO,,512
57990,HP,Intel Core i5 Processor (11th Gen),Windows11,16,N\A,1 Year Onsite Warranty,16.1,NO,,512
29990,HP,AMD Ryzen 3 Dual Core Processor,64bitWindows11,8,N\A,,,NO,,512
55350,Lenovo,Intel Core i5 Processor (12th Gen),64bitWindows11,16,IdeaPad,2 Year warranty,15.6,NO,,512
32990,HP,AMD Ryzen 3 Dual Core Processor,Windows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
63990,HP,Intel Core i5 Processor (12th Gen),64bitWindows11,8,N\A,1 Year Onsite Warranty,15.6,NO,,512
38990,ASUS,AMD Ryzen 3 Quad Core Processor,Windows11,8,VivoBook,1 Year Onsite Warranty,15.6,NO,,512
