Price,Company,Processor,Operating System,RAM,Display,Storage,Type,Warranty
58990,HP,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,8,40.89 cm (16.1 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
32990,HP,AMD Ryzen 3 Dual Core Processor,Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
26990,Infinix,Intel Core i3 Processor (10th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 inch) Display,256 GB SSD,N\A,1 Year Onsite Warranty
37890,HP,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,8,35.56 cm (14 inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
43990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,16,35.56 cm (14 Inch) Display,512 GB SSD,N\A,1 Year Carry-in Warranty
37990,Infinix,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,16,35.56 cm (14 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
55490,Lenovo,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,IdeaPad,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidentaly Damage Protection
57990,HP,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,35.56 cm (14 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
38490,HP,Intel Core i3 Processor,64 bit Windows 11 Operating System,8,35.56 cm (14 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
34990,Acer,AMD Ryzen 5 Quad Core Processor,64 bit Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year International Travelers Warranty
40990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,8,35.56 cm (14 Inch) Display,512 GB SSD,N\A,1 Year Carry-in Warranty
114990,Lenovo,Intel Core i7 Processor (13th Gen),Windows 11 Operating System,16,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Carry-in Warranty
47990,Acer,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,16,39.62 cm (15.6 Inch) Display,512 GB SSD,Aspire,1 Year International Travelers Warranty
38990,MSI,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,16,35.56 cm (14 Inch) Display,512 GB SSD,N\A,1 Year Carry-in warranty
29990,SAMSUNG,Qualcomm Snapdragon 7c Gen 2 Processor,Windows 11 Operating System,4,35.56 cm (14 Inch) Display,"N, /, A",Galaxy Book,1 Year Onsite Warranty
72990,HP,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,16,35.56 cm (14 Inch) Touchscreen Display,512 GB SSD,Pavilion,1 Year Onsite Warranty
58990,HP,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,8,40.89 cm (16.1 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
57990,HP,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,16,40.89 cm (16.1 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
34990,Infinix,Intel Core i5 Processor (11th Gen),64 bit Windows 11 Operating System,16,35.56 cm (14 inch) Display,512 GB SSD,N\A,1 year Onsite Warranty
31990,Acer,Intel Core i3 Processor (11th Gen),Windows 11 Operating System,8,39.62 cm (15.6 inch) Display,512 GB SSD,N\A,
32990,HP,AMD Ryzen 3 Dual Core Processor,Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
63990,HP,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
26990,ASUS,Intel Celeron Dual Core Processor,Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,256 GB SSD,VivoBook,1 Year Onsite Warranty
65990,ASUS,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,16,39.62 cm (15.6 Inch) Display,512 GB SSD,Creator,1 Year Onsite Warranty
50990,HP,Intel Core i3 Processor (12th Gen),Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,Pavilion,1 Year Onsite Warranty
43990,ASUS,AMD Ryzen 5 Quad Core Processor,Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,VivoBook,1 Year Onsite Warranty
